STATEFP,COUNTYFP,COUNTYNS,GEOID,NAME,NAMELSAD,LSAD,CLASSFP,MTFCC,CSAFP,CBSAFP,METDIVFP,FUNCSTAT,ALAND,AWATER,INTPTLAT,INTPTLON,pot_places_ObjectID,pot_places_TradeName,pot_places_License,pot_places_UBI,pot_places_Address,pot_places_City,pot_places_Zip,pot_places_Privilege,pot_places_DayPhone,pot_places_Email,pot_places_MedicallyE,pot_places_UpdateDate,bf_inter_OBJECTID,bf_inter_Name,bf_inter_Descr,bf_inter_TimeWhen,bf_inter_Extrude,bf_inter_AltMode,bf_inter_Symbology,bf_inter_Labeling,bf_inter_Class,bf_inter_COUNTYFP,bf_inter_COUNTYNS,bf_inter_GEOID,bf_inter_NAME_2,bf_inter_NAMELSAD,bf_inter_LSAD,bf_inter_CLASSFP,bf_inter_MTFCC,bf_inter_CSAFP,bf_inter_CBSAFP,bf_inter_METDIVFP,bf_inter_FUNCSTAT,bf_inter_ALAND,bf_inter_AWATER,bf_inter_INTPTLAT,bf_inter_INTPTLON
"53","069","01513275","53069",Wahkiakum,Wahkiakum County,"06",H1,G4020,,,,A,"680956809","61588406","+46.2946377","-123.4244583",,,,,,,,,,,,,"3518",June 2014,"<img src=""http://www.bfro.net/images/bfroicon-i.jpg"" vspace=""0"" hspace=""0"" width=""50"" height=""26"" align=""right""></img><b>
          Report 47161: Dark figure observed thru binoculars during an afternoon on Baker Lake near Swift Creek</b><br></br><a href=",2014-06-14 12:00:00,"1",RelativeToGround,,,B,"057","01531402","53057",Skagit,Skagit County,"06",H1,G4020,"500","34580",,A,"4481247129","483851713","+48.4932917","-121.8157703"
"53","041","01531927","53041",Lewis,Lewis County,"06",H1,G4020,"500","16500",,A,"6223151022","86954132","+46.5800714","-122.3774443",,,,,,,,,,,,,"3518",June 2014,"<img src=""http://www.bfro.net/images/bfroicon-i.jpg"" vspace=""0"" hspace=""0"" width=""50"" height=""26"" align=""right""></img><b>
          Report 47161: Dark figure observed thru binoculars during an afternoon on Baker Lake near Swift Creek</b><br></br><a href=",2014-06-14 12:00:00,"1",RelativeToGround,,,B,"057","01531402","53057",Skagit,Skagit County,"06",H1,G4020,"500","34580",,A,"4481247129","483851713","+48.4932917","-121.8157703"
"53","031","01531936","53031",Jefferson,Jefferson County,"06",H1,G4020,,,,A,"4671590207","995036034","+47.8053465","-123.5271357",,,,,,,,,,,,,"3518",June 2014,"<img src=""http://www.bfro.net/images/bfroicon-i.jpg"" vspace=""0"" hspace=""0"" width=""50"" height=""26"" align=""right""></img><b>
          Report 47161: Dark figure observed thru binoculars during an afternoon on Baker Lake near Swift Creek</b><br></br><a href=",2014-06-14 12:00:00,"1",RelativeToGround,,,B,"057","01531402","53057",Skagit,Skagit County,"06",H1,G4020,"500","34580",,A,"4481247129","483851713","+48.4932917","-121.8157703"
"53","013","01513273","53013",Columbia,Columbia County,"06",H1,G4020,,"47460",,A,"2249624728","12561762","+46.2928505","-117.9116345",,,,,,,,,,,,,"3518",June 2014,"<img src=""http://www.bfro.net/images/bfroicon-i.jpg"" vspace=""0"" hspace=""0"" width=""50"" height=""26"" align=""right""></img><b>
          Report 47161: Dark figure observed thru binoculars during an afternoon on Baker Lake near Swift Creek</b><br></br><a href=",2014-06-14 12:00:00,"1",RelativeToGround,,,B,"057","01531402","53057",Skagit,Skagit County,"06",H1,G4020,"500","34580",,A,"4481247129","483851713","+48.4932917","-121.8157703"
"53","037","01531926","53037",Kittitas,Kittitas County,"06",H1,G4020,,"21260",,A,"5949976986","92436008","+47.1244411","-120.6767092",,,,,,,,,,,,,"3518",June 2014,"<img src=""http://www.bfro.net/images/bfroicon-i.jpg"" vspace=""0"" hspace=""0"" width=""50"" height=""26"" align=""right""></img><b>
          Report 47161: Dark figure observed thru binoculars during an afternoon on Baker Lake near Swift Creek</b><br></br><a href=",2014-06-14 12:00:00,"1",RelativeToGround,,,B,"057","01531402","53057",Skagit,Skagit County,"06",H1,G4020,"500","34580",,A,"4481247129","483851713","+48.4932917","-121.8157703"
"53","061","01529222","53061",Snohomish,Snohomish County,"06",H1,G4020,"500","42660","42644",A,"5404058573","282912328","+48.0704640","-121.9367840",,,,,,,,,,,,,"3518",June 2014,"<img src=""http://www.bfro.net/images/bfroicon-i.jpg"" vspace=""0"" hspace=""0"" width=""50"" height=""26"" align=""right""></img><b>
          Report 47161: Dark figure observed thru binoculars during an afternoon on Baker Lake near Swift Creek</b><br></br><a href=",2014-06-14 12:00:00,"1",RelativeToGround,,,B,"057","01531402","53057",Skagit,Skagit County,"06",H1,G4020,"500","34580",,A,"4481247129","483851713","+48.4932917","-121.8157703"
"53","077","01531929","53077",Yakima,Yakima County,"06",H1,G4020,,"49420",,A,"11122757280","41168174","+46.4565581","-120.7401446",,,,,,,,,,,,,"3518",June 2014,"<img src=""http://www.bfro.net/images/bfroicon-i.jpg"" vspace=""0"" hspace=""0"" width=""50"" height=""26"" align=""right""></img><b>
          Report 47161: Dark figure observed thru binoculars during an afternoon on Baker Lake near Swift Creek</b><br></br><a href=",2014-06-14 12:00:00,"1",RelativeToGround,,,B,"057","01531402","53057",Skagit,Skagit County,"06",H1,G4020,"500","34580",,A,"4481247129","483851713","+48.4932917","-121.8157703"
"53","047","01531928","53047",Okanogan,Okanogan County,"06",H1,G4020,,,,A,"13639353722","120408325","+48.5484533","-119.7422347",,,,,,,,,,,,,"3518",June 2014,"<img src=""http://www.bfro.net/images/bfroicon-i.jpg"" vspace=""0"" hspace=""0"" width=""50"" height=""26"" align=""right""></img><b>
          Report 47161: Dark figure observed thru binoculars during an afternoon on Baker Lake near Swift Creek</b><br></br><a href=",2014-06-14 12:00:00,"1",RelativeToGround,,,B,"057","01531402","53057",Skagit,Skagit County,"06",H1,G4020,"500","34580",,A,"4481247129","483851713","+48.4932917","-121.8157703"
"53","063","01529225","53063",Spokane,Spokane County,"06",H1,G4020,"518","44060",,A,"4568452137","43434945","+47.6203752","-117.4033714",,,,,,,,,,,,,"3518",June 2014,"<img src=""http://www.bfro.net/images/bfroicon-i.jpg"" vspace=""0"" hspace=""0"" width=""50"" height=""26"" align=""right""></img><b>
          Report 47161: Dark figure observed thru binoculars during an afternoon on Baker Lake near Swift Creek</b><br></br><a href=",2014-06-14 12:00:00,"1",RelativeToGround,,,B,"057","01531402","53057",Skagit,Skagit County,"06",H1,G4020,"500","34580",,A,"4481247129","483851713","+48.4932917","-121.8157703"
"53","029","01513272","53029",Island,Island County,"06",H1,G4020,"500","36020",,A,"540043252","799821240","+48.1585538","-122.6706492",,,,,,,,,,,,,"3518",June 2014,"<img src=""http://www.bfro.net/images/bfroicon-i.jpg"" vspace=""0"" hspace=""0"" width=""50"" height=""26"" align=""right""></img><b>
          Report 47161: Dark figure observed thru binoculars during an afternoon on Baker Lake near Swift Creek</b><br></br><a href=",2014-06-14 12:00:00,"1",RelativeToGround,,,B,"057","01531402","53057",Skagit,Skagit County,"06",H1,G4020,"500","34580",,A,"4481247129","483851713","+48.4932917","-121.8157703"
