GEO_ID,NAME,S0101_C01_001E
54001,"Barbour County, West Virginia",16730
54003,"Berkeley County, West Virginia",113495
54005,"Boone County, West Virginia",22817
54007,"Braxton County, West Virginia",14282
54009,"Brooke County, West Virginia",22772
54011,"Cabell County, West Virginia",95318
54013,"Calhoun County, West Virginia",7396
54015,"Clay County, West Virginia",8785
54017,"Doddridge County, West Virginia",8536
54019,"Fayette County, West Virginia",44126
54021,"Gilmer County, West Virginia",8205
54023,"Grant County, West Virginia",11641
54025,"Greenbrier County, West Virginia",35347
54027,"Hampshire County, West Virginia",23363
54029,"Hancock County, West Virginia",29680
54031,"Hardy County, West Virginia",13842
54033,"Harrison County, West Virginia",68209
54035,"Jackson County, West Virginia",29018
54037,"Jefferson County, West Virginia",56179
54039,"Kanawha County, West Virginia",185710
54041,"Lewis County, West Virginia",16276
54043,"Lincoln County, West Virginia",21078
54045,"Logan County, West Virginia",33801
54047,"McDowell County, West Virginia",19217
54049,"Marion County, West Virginia",56497
54051,"Marshall County, West Virginia",31645
54053,"Mason County, West Virginia",26939
54055,"Mercer County, West Virginia",60486
54057,"Mineral County, West Virginia",27278
54059,"Mingo County, West Virginia",24741
54061,"Monongalia County, West Virginia",105252
54063,"Monroe County, West Virginia",13467
54065,"Morgan County, West Virginia",17624
54067,"Nicholas County, West Virginia",25324
54069,"Ohio County, West Virginia",42547
54071,"Pendleton County, West Virginia",7056
54073,"Pleasants County, West Virginia",7507
54075,"Pocahontas County, West Virginia",8531
54077,"Preston County, West Virginia",33837
54079,"Putnam County, West Virginia",56652
54081,"Raleigh County, West Virginia",76232
54083,"Randolph County, West Virginia",29065
54085,"Ritchie County, West Virginia",9932
54087,"Roane County, West Virginia",14205
54089,"Summers County, West Virginia",13018
54091,"Taylor County, West Virginia",16951
54093,"Tucker County, West Virginia",7027
54095,"Tyler County, West Virginia",8909
54097,"Upshur County, West Virginia",24605
54099,"Wayne County, West Virginia",40708
54101,"Webster County, West Virginia",8518
54103,"Wetzel County, West Virginia",15614
54105,"Wirt County, West Virginia",5797
54107,"Wood County, West Virginia",85556
54109,"Wyoming County, West Virginia",21711
