STATEFP,COUNTYFP,COUNTYNS,GEOID,NAME,NAMELSAD,LSAD,CLASSFP,MTFCC,CSAFP,CBSAFP,METDIVFP,FUNCSTAT,ALAND,AWATER,INTPTLAT,INTPTLON,Ag_workers,idaho_1_NAME,idaho_1_S2405_C01_008E,idaho_1_S2405_C01_009E,idaho_1_S2405_C01_010E,idaho_1_S2405_C01_011E,idaho_1_S2405_C01_012E,idaho_1_S2405_C01_013E,idaho_1_S2405_C01_014E,idaho_1_S2405_C01_001E,idaho_1_S2405_C01_002E,idaho_1_S2405_C01_003E,idaho_1_S2405_C01_004E,idaho_1_S2405_C01_005E,idaho_1_S2405_C01_006E,idaho_1_S2405_C01_007E,idaho_2_NAME,idaho_2_S1502_C01_001E,idaho_2_S1502_C01_002E,idaho_2_S1502_C01_003E,idaho_2_S1502_C01_004E,idaho_2_S1502_C01_005E,idaho_2_S1502_C01_006E
"16","051","00399751","16051",Jefferson,Jefferson County,"06",H1,G4020,"292","26820",,A,"2832617275","31168374","+43.7969649","-112.3185879","32","Jefferson County, Idaho","213","589","1157","2477","772","513","718","12485","1228","1200","1104","335","1431","748","Jefferson County, Idaho","3616","1148","670","518","693","587"
"16","055","00395661","16055",Kootenai,Kootenai County,"06",H1,G4020,"518","17660",,A,"3205833878","184447536","+47.6759658","-116.6959222","31","Kootenai County, Idaho","1574","4176","7614","14727","7366","3882","3510","70446","1586","6462","6258","1460","8912","2919","Kootenai County, Idaho","26349","8164","3010","4675","4080","6420"
"16","045","00395442","16045",Gem,Gem County,"06",H1,G4020,"147","14260",,A,"1449796570","12491545","+44.0614727","-116.3987839","36","Gem County, Idaho","14","214","395","1467","488","368","314","6654","404","764","520","226","966","514","Gem County, Idaho","1749","626","125","344","375","279"
"16","041","00395585","16041",Franklin,Franklin County,"06",H1,G4020,,"30860",,A,"1717211129","12153472","+42.1736093","-111.8229653","23","Franklin County, Idaho","48","224","230","1179","411","204","165","5861","627","479","1116","201","704","273","Franklin County, Idaho","1427","327","195","200","331","374"
"16","065","00394803","16065",Madison,Madison County,"06",H1,G4020,"292","39940",,A,"1215396305","10500897","+43.7886140","-111.6569925","28","Madison County, Idaho","238","571","1562","6540","2203","382","548","17962","775","971","964","499","2192","517","Madison County, Idaho","5923","1676","743","851","1108","1545"
"16","033","00399755","16033",Clark,Clark County,"06",H1,G4020,,,,A,"4566524478","2476454","+44.2902180","-112.3546128","41","Clark County, Idaho","4","0","0","27","70","2","6","463","262","33","36","0","21","2","Clark County, Idaho","92","38","9","9","2","34"
"16","053","00395662","16053",Jerome,Jerome County,"06",H1,G4020,,"46300",,A,"1547443958","13094559","+42.6913953","-114.2620858","32","Jerome County, Idaho","149","363","645","1709","474","440","167","10607","2467","379","1748","180","1138","748","Jerome County, Idaho","2098","672","347","228","587","264"
"16","037","00399758","16037",Custer,Custer County,"06",H1,G4020,,,,A,"12748378759","42527192","+44.2733510","-114.2522675","32","Custer County, Idaho","7","27","89","229","222","33","62","1619","324","209","56","12","153","196","Custer County, Idaho","729","233","88","68","110","230"
"16","019","00395407","16019",Bonneville,Bonneville County,"06",H1,G4020,"292","26820",,A,"4832871623","88856338","+43.3951708","-111.6218783","35","Bonneville County, Idaho","839","1890","7165","11614","4695","2178","1840","49395","1546","3472","4309","1736","5813","2298","Bonneville County, Idaho","20381","7176","2492","3489","3419","3805"
"16","049","00395699","16049",Idaho,Idaho County,"06",H1,G4020,,,,A,"21956594313","67559274","+45.8496440","-115.4673371","42","Idaho County, Idaho","179","229","273","1171","687","446","490","6291","618","581","637","74","609","297","Idaho County, Idaho","2419","1020","224","299","419","457"
